bench,label,horizon,n,ic,t,spread,win_diff,hit,type
sse,caixin_services_pmi,1,33,-0.355,-2.11,-3.51,-0.27,0.424,indicator
hs300,imports,6,51,0.354,2.65,8.37,0.47,0.49,indicator
wind_all,non_man_pmi,1,56,-0.347,-2.72,-4.22,-0.28,0.429,indicator
sse,copper_oil_ratio,3,54,0.345,2.65,4.82,0.22,0.556,indicator
wind_all,industrial_profit,3,27,-0.344,-1.83,-12.03,-0.56,0.407,indicator
wind_all,industrial_momentum,6,34,-0.342,-2.06,-6.43,-0.27,0.324,indicator
wind_all,fai_equipment,6,24,0.341,1.7,5.75,0.12,0.625,indicator
hs300,property_sales_area,3,27,0.34,1.81,6.43,0.22,0.593,indicator
hs300,copper_oil_ratio,3,54,0.335,2.57,6.14,0.17,0.5,indicator
wind_all,caixin_services_pmi,1,33,-0.334,-1.97,-5.67,-0.18,0.455,indicator
wind_all,ppi,6,51,0.334,2.48,9.88,0.41,0.569,indicator
wind_all,gdp,6,17,0.333,1.37,11.81,0.2,0.412,indicator
hs300,order_inventory_spread,3,30,-0.333,-1.87,-4.98,-0.5,0.333,indicator
hs300,industrial_revenue,1,28,-0.331,-1.79,-2.66,-0.22,0.429,indicator
sse,industrial_profit,1,28,-0.331,-1.79,-4.79,-0.33,0.429,indicator
hs300,industrial_inventory,1,28,-0.33,-1.78,-2.02,-0.22,0.464,indicator
wind_all,cx_pmi,6,28,-0.328,-1.77,-8.88,-0.33,0.357,indicator
hs300,non_man_pmi,1,56,-0.328,-2.55,-3.99,-0.39,0.411,indicator
sse,property_loans,3,27,0.326,1.73,5.92,0.33,0.741,indicator
hs300,property_sales_area,1,28,0.325,1.75,3.68,0.11,0.536,indicator
sse,ppi,6,51,0.322,2.38,6.05,0.41,0.49,indicator
sse,industrial_momentum,1,38,-0.316,-1.99,-3.56,-0.33,0.368,indicator
sse,gdp,6,17,0.314,1.28,7.52,0.4,0.412,indicator
sse,price_spread,3,30,0.313,1.74,3.74,0.2,0.633,indicator
wind_all,order_inventory_spread,3,30,-0.312,-1.74,-7.55,-0.3,0.433,indicator
hs300,cx_pmi,1,33,-0.312,-1.83,-3.42,-0.27,0.333,indicator
sse,m1_m2_spread,1,32,0.312,1.8,2.63,0.5,0.688,indicator
wind_all,industrial_profit,1,28,-0.31,-1.66,-7.17,-0.22,0.393,indicator
sse,industrial_inventory,3,27,-0.309,-1.62,-2.99,-0.33,0.481,indicator
hs300,resale_house_breadth,1,55,-0.308,-2.35,-2.75,-0.17,0.345,indicator
hs300,exports,3,54,0.306,2.32,6.42,0.22,0.574,indicator
wind_all,property_loans,3,27,0.303,1.59,7.32,0.33,0.741,indicator
wind_all,industrial_profit,6,24,-0.302,-1.49,-8.93,-0.25,0.583,indicator
sse,property_sales_area,1,28,0.302,1.61,3.47,0.33,0.643,indicator
sse,pmi_expectation,6,27,-0.3,-1.57,-2.24,0.11,0.37,indicator
wind_all,resale_house_breadth,1,55,-0.298,-2.27,-3.14,-0.22,0.327,indicator
wind_all,industrial_inventory,1,28,-0.296,-1.58,-2.72,-0.11,0.464,indicator
hs300,gdp,1,19,0.293,1.26,3.89,0.33,0.632,indicator
hs300,pmi_expectation,6,27,-0.29,-1.51,-3.46,0.0,0.407,indicator
sse,order_inventory_spread,1,32,-0.287,-1.64,-3.36,-0.3,0.375,indicator
hs300,pmi_new_export_orders,6,27,0.285,1.49,7.53,0.33,0.63,indicator
wind_all,exports,3,54,0.283,2.13,6.8,0.44,0.63,indicator
wind_all,property_sales_area,1,28,0.283,1.5,5.34,0.11,0.536,indicator
wind_all,price_spread,3,30,0.277,1.52,3.83,0.2,0.6,indicator
hs300,caixin_services_pmi,3,31,-0.277,-1.56,-8.08,-0.1,0.548,indicator
sse,industrial_profit,3,27,-0.276,-1.44,-7.77,-0.22,0.556,indicator
wind_all,world_trade_yoy_3mma,1,42,0.275,1.81,3.26,0.29,0.595,indicator
sse,core_cpi,6,27,-0.264,-1.37,-3.31,0.0,0.556,indicator
wind_all,non_man_pmi,6,51,-0.263,-1.9,-5.17,-0.12,0.412,indicator
hs300,resale_house_breadth,6,51,-0.259,-1.88,-4.54,-0.41,0.373,indicator
wind_all,m1_m2_spread,1,32,0.258,1.46,3.7,0.4,0.656,indicator
sse,non_man_pmi,1,56,-0.256,-1.94,-2.99,-0.28,0.411,indicator
hs300,pmi_new_export_orders,3,30,-0.255,-1.39,1.22,-0.2,0.4,indicator
sse,m1_m2_spread,3,30,0.254,1.39,5.03,0.6,0.633,indicator
hs300,industrial_profit,1,28,-0.249,-1.31,-4.54,-0.22,0.393,indicator
sse,special_bond_issuance,1,25,0.245,1.21,4.38,0.25,0.64,indicator
hs300,world_trade_yoy_3mma,1,42,0.244,1.59,2.86,0.43,0.643,indicator
sse,property_funds,1,28,0.244,1.28,2.65,0.33,0.679,indicator
sse,pmi_new_export_orders,6,27,0.242,1.25,5.65,0.44,0.741,indicator
sse,resale_house_breadth,1,55,-0.241,-1.81,-2.16,-0.11,0.345,indicator
wind_all,industrial_inventory,3,27,-0.24,-1.24,-2.21,-0.44,0.481,indicator
wind_all,resale_house_breadth,6,51,-0.24,-1.73,-4.66,-0.35,0.412,indicator
hs300,industrial_inventory,3,27,-0.24,-1.23,-1.12,-0.11,0.481,indicator
hs300,imports,3,54,0.237,1.76,5.05,0.22,0.611,indicator
sse,industrial_profit,6,24,-0.233,-1.13,-6.04,-0.12,0.625,indicator
wind_all,imports,6,51,0.232,1.67,7.66,0.35,0.49,indicator
hs300,order_inventory_spread,1,32,-0.229,-1.29,-3.7,-0.1,0.406,indicator
hs300,property_funds,1,28,0.229,1.2,2.16,0.0,0.571,indicator
hs300,property_loans,3,27,0.229,1.17,5.36,0.11,0.593,indicator
sse,industrial_momentum,6,34,-0.227,-1.32,-2.49,-0.27,0.382,indicator
sse,exports,3,54,0.226,1.68,4.26,0.22,0.519,indicator
wind_all,property_funds,1,28,0.221,1.16,4.02,0.0,0.571,indicator
sse,cx_pmi,6,28,-0.221,-1.15,-5.07,0.0,0.5,indicator
sse,gdp,1,19,0.221,0.93,3.34,0.33,0.526,indicator
sse,resale_house_breadth,6,51,-0.219,-1.57,-3.34,-0.29,0.412,indicator
hs300,special_bond_issuance,1,25,0.218,1.07,4.79,0.12,0.6,indicator
hs300,resale_house_breadth,3,54,-0.218,-1.61,-4.04,-0.28,0.389,indicator
sse,world_trade_yoy_3mma,1,42,0.215,1.4,2.25,0.29,0.619,indicator
hs300,non_man_pmi,6,51,-0.211,-1.51,-3.72,-0.12,0.373,indicator
wind_all,pmi_new_export_orders,6,27,0.21,1.07,8.98,0.44,0.63,indicator
hs300,price_spread,3,30,0.207,1.12,2.54,-0.1,0.5,indicator
sse,non_man_pmi,6,51,-0.207,-1.48,-3.36,-0.18,0.373,indicator
hs300,caixin_services_pmi,1,33,-0.205,-1.17,-2.92,-0.18,0.455,indicator
sse,fai_equipment,3,27,0.201,1.02,1.61,0.11,0.556,indicator
hs300,exports,1,56,0.2,1.5,1.98,0.33,0.643,indicator
hs300,m1_m2_spread,3,30,0.198,1.07,4.6,0.5,0.633,indicator
wind_all,index_pe_ttm,1,12,0.196,0.63,-1.24,-0.25,0.333,indicator
sse,pmi_new_export_orders,3,30,-0.196,-1.06,0.54,-0.2,0.4,indicator
hs300,copper_oil_ratio,1,55,0.193,1.43,1.57,0.17,0.527,indicator
wind_all,exports,1,56,0.191,1.43,1.63,0.22,0.589,indicator
wind_all,pmi_headline,1,32,-0.19,-1.06,-3.0,-0.2,0.406,indicator
wind_all,pmi_expectation,1,32,-0.19,-1.06,-4.73,-0.2,0.438,indicator
wind_all,industrial_momentum,3,37,-0.188,-1.13,-3.91,-0.17,0.324,indicator
sse,m1_m2_spread,6,27,0.186,0.95,3.7,0.22,0.63,indicator
sse,price_spread,6,27,0.185,0.94,4.63,0.0,0.519,indicator
wind_all,gdp,1,19,0.184,0.77,4.77,0.33,0.579,indicator
wind_all,industrial_revenue,3,27,-0.183,-0.93,0.24,-0.22,0.519,indicator
wind_all,new_high_breadth,1,12,-0.182,-0.58,-4.64,-0.5,0.417,indicator
hs300,industrial_revenue,6,24,0.182,0.87,4.96,0.12,0.708,indicator
sse,property_loans,1,28,0.181,0.94,2.4,0.11,0.571,indicator
hs300,core_cpi,1,32,0.179,1.0,-0.52,0.2,0.594,indicator
sse,imports,6,51,0.179,1.27,4.19,0.18,0.373,indicator
wind_all,core_cpi,6,27,-0.173,-0.88,-2.34,-0.11,0.519,indicator
wind_all,copper_oil_ratio,1,55,0.172,1.27,1.2,0.17,0.545,indicator
hs300,industrial_momentum,6,34,-0.172,-0.99,-2.34,0.0,0.471,indicator
hs300,core_cpi,6,27,-0.165,-0.84,-1.7,0.0,0.593,indicator
sse,resale_house_breadth,3,54,-0.165,-1.21,-3.38,-0.33,0.37,indicator
hs300,cx_pmi,6,28,-0.161,-0.83,-4.26,-0.22,0.464,indicator
wind_all,special_bond_issuance,1,25,0.159,0.77,5.43,0.12,0.6,indicator
hs300,industrial_profit,6,24,-0.159,-0.75,-4.19,0.0,0.667,indicator
wind_all,core_cpi,1,32,0.157,0.87,-0.71,0.2,0.594,indicator
hs300,industrial_profit,3,27,-0.157,-0.8,-6.71,-0.11,0.556,indicator
sse,copper_oil_ratio,1,55,0.156,1.15,1.15,0.28,0.564,indicator
hs300,property_loans,1,28,0.155,0.8,2.15,-0.11,0.464,indicator
hs300,pmi_expectation,1,32,-0.15,-0.83,-3.05,0.0,0.5,indicator
